algo,mdp,run,rho_hat
RVIQL,ring,0,1.0
RVIQL,ring,1,1.0
RVIQL,ring,2,1.0
RVIQL,ring,3,1.0
RVIQL,ring,4,1.0
RVIQL,ring,5,1.0
RVIQL,ring,6,1.0
RVIQL,ring,7,1.0
RVIQL,ring,8,1.0
RVIQL,ring,9,1.0
RVIQL,ring,10,1.0
RVIQL,ring,11,1.0
RVIQL,ring,12,1.0
RVIQL,ring,13,1.0
RVIQL,ring,14,1.0
RVIQL,ring,15,1.0
RVIQL,ring,16,1.0
RVIQL,ring,17,1.0
RVIQL,ring,18,1.0
RVIQL,ring,19,1.0
RVIQL,ring,20,1.0
RVIQL,ring,21,1.0
RVIQL,ring,22,1.0
RVIQL,ring,23,1.0
RVIQL,ring,24,1.0
RVIQL,ring,25,1.0
RVIQL,ring,26,1.0
RVIQL,ring,27,1.0
RVIQL,ring,28,1.0
RVIQL,ring,29,1.0
RVIQL,ring,30,1.0
RVIQL,ring,31,1.0
RVIQL,ring,32,1.0
RVIQL,ring,33,1.0
RVIQL,ring,34,1.0
RVIQL,ring,35,1.0
RVIQL,ring,36,1.0
RVIQL,ring,37,1.0
RVIQL,ring,38,1.0
RVIQL,ring,39,1.0
RVIQL,ring,40,1.0
RVIQL,ring,41,1.0
RVIQL,ring,42,1.0
RVIQL,ring,43,1.0
RVIQL,ring,44,1.0
RVIQL,ring,45,1.0
RVIQL,ring,46,1.0
RVIQL,ring,47,1.0
RVIQL,ring,48,1.0
RVIQL,ring,49,1.0
RVIQL,ring,50,1.0
RVIQL,ring,51,1.0
RVIQL,ring,52,1.0
RVIQL,ring,53,1.0
RVIQL,ring,54,1.0
RVIQL,ring,55,1.0
RVIQL,ring,56,1.0
RVIQL,ring,57,1.0
RVIQL,ring,58,1.0
RVIQL,ring,59,1.0
RVIQL,ring,60,1.0
RVIQL,ring,61,1.0
RVIQL,ring,62,1.0
RVIQL,ring,63,1.0
RVIQL,ring,64,1.0
RVIQL,ring,65,1.0
RVIQL,ring,66,1.0
RVIQL,ring,67,1.0
RVIQL,ring,68,1.0
RVIQL,ring,69,1.0
RVIQL,ring,70,1.0
RVIQL,ring,71,1.0
RVIQL,ring,72,1.0
RVIQL,ring,73,1.0
RVIQL,ring,74,1.0
RVIQL,ring,75,1.0
RVIQL,ring,76,1.0
RVIQL,ring,77,1.0
RVIQL,ring,78,1.0
RVIQL,ring,79,1.0
RVIQL,ring,80,1.0
RVIQL,ring,81,1.0
RVIQL,ring,82,1.0
RVIQL,ring,83,1.0
RVIQL,ring,84,1.0
RVIQL,ring,85,1.0
RVIQL,ring,86,1.0
RVIQL,ring,87,1.0
RVIQL,ring,88,1.0
RVIQL,ring,89,1.0
RVIQL,ring,90,1.0
RVIQL,ring,91,1.0
RVIQL,ring,92,1.0
RVIQL,ring,93,1.0
RVIQL,ring,94,1.0
RVIQL,ring,95,1.0
RVIQL,ring,96,1.0
RVIQL,ring,97,1.0
RVIQL,ring,98,1.0
RVIQL,ring,99,1.0
RVIQL,ring,100,1.0
RVIQL,ring,101,1.0
RVIQL,ring,102,1.0
RVIQL,ring,103,1.0
RVIQL,ring,104,1.0
RVIQL,ring,105,1.0
RVIQL,ring,106,1.0
RVIQL,ring,107,1.0
RVIQL,ring,108,1.0
RVIQL,ring,109,1.0
RVIQL,ring,110,1.0
RVIQL,ring,111,1.0
RVIQL,ring,112,1.0
RVIQL,ring,113,1.0
RVIQL,ring,114,1.0
RVIQL,ring,115,1.0
RVIQL,ring,116,1.0
RVIQL,ring,117,1.0
RVIQL,ring,118,1.0
RVIQL,ring,119,1.0
RVIQL,ring,120,1.0
RVIQL,ring,121,1.0
RVIQL,ring,122,1.0
RVIQL,ring,123,1.0
RVIQL,ring,124,1.0
RVIQL,ring,125,1.0
RVIQL,ring,126,1.0
RVIQL,ring,127,1.0
RVIQL,ring,128,1.0
RVIQL,ring,129,1.0
RVIQL,ring,130,1.0
RVIQL,ring,131,1.0
RVIQL,ring,132,1.0
RVIQL,ring,133,1.0
RVIQL,ring,134,1.0
RVIQL,ring,135,1.0
RVIQL,ring,136,1.0
RVIQL,ring,137,1.0
RVIQL,ring,138,1.0
RVIQL,ring,139,1.0
RVIQL,ring,140,1.0
RVIQL,ring,141,1.0
RVIQL,ring,142,1.0
RVIQL,ring,143,1.0
RVIQL,ring,144,1.0
RVIQL,ring,145,1.0
RVIQL,ring,146,1.0
RVIQL,ring,147,1.0
RVIQL,ring,148,1.0
RVIQL,ring,149,1.0
RVIQL,ring,150,1.0
RVIQL,ring,151,1.0
RVIQL,ring,152,1.0
RVIQL,ring,153,1.0
RVIQL,ring,154,1.0
RVIQL,ring,155,1.0
RVIQL,ring,156,1.0
RVIQL,ring,157,1.0
RVIQL,ring,158,1.0
RVIQL,ring,159,1.0
RVIQL,ring,160,1.0
RVIQL,ring,161,1.0
RVIQL,ring,162,1.0
RVIQL,ring,163,1.0
RVIQL,ring,164,1.0
RVIQL,ring,165,1.0
RVIQL,ring,166,1.0
RVIQL,ring,167,1.0
RVIQL,ring,168,1.0
RVIQL,ring,169,1.0
RVIQL,ring,170,1.0
RVIQL,ring,171,1.0
RVIQL,ring,172,1.0
RVIQL,ring,173,1.0
RVIQL,ring,174,1.0
RVIQL,ring,175,1.0
RVIQL,ring,176,1.0
RVIQL,ring,177,1.0
RVIQL,ring,178,1.0
RVIQL,ring,179,1.0
RVIQL,ring,180,1.0
RVIQL,ring,181,1.0
RVIQL,ring,182,1.0
RVIQL,ring,183,1.0
RVIQL,ring,184,1.0
RVIQL,ring,185,1.0
RVIQL,ring,186,1.0
RVIQL,ring,187,1.0
RVIQL,ring,188,1.0
RVIQL,ring,189,1.0
RVIQL,ring,190,1.0
RVIQL,ring,191,1.0
RVIQL,ring,192,1.0
RVIQL,ring,193,1.0
RVIQL,ring,194,1.0
RVIQL,ring,195,1.0
RVIQL,ring,196,1.0
RVIQL,ring,197,1.0
RVIQL,ring,198,1.0
RVIQL,ring,199,1.0
RVIQL,ring,200,1.0
RVIQL,ring,201,1.0
RVIQL,ring,202,1.0
RVIQL,ring,203,1.0
RVIQL,ring,204,1.0
RVIQL,ring,205,1.0
RVIQL,ring,206,1.0
RVIQL,ring,207,1.0
RVIQL,ring,208,1.0
RVIQL,ring,209,1.0
RVIQL,ring,210,1.0
RVIQL,ring,211,1.0
RVIQL,ring,212,1.0
RVIQL,ring,213,1.0
RVIQL,ring,214,1.0
RVIQL,ring,215,1.0
RVIQL,ring,216,1.0
RVIQL,ring,217,1.0
RVIQL,ring,218,1.0
RVIQL,ring,219,1.0
RVIQL,ring,220,1.0
RVIQL,ring,221,1.0
RVIQL,ring,222,1.0
RVIQL,ring,223,1.0
RVIQL,ring,224,1.0
RVIQL,ring,225,1.0
RVIQL,ring,226,1.0
RVIQL,ring,227,1.0
RVIQL,ring,228,1.0
RVIQL,ring,229,1.0
RVIQL,ring,230,1.0
RVIQL,ring,231,1.0
RVIQL,ring,232,1.0
RVIQL,ring,233,1.0
RVIQL,ring,234,1.0
RVIQL,ring,235,1.0
RVIQL,ring,236,1.0
RVIQL,ring,237,1.0
RVIQL,ring,238,1.0
RVIQL,ring,239,1.0
RVIQL,ring,240,1.0
RVIQL,ring,241,1.0
RVIQL,ring,242,1.0
RVIQL,ring,243,1.0
RVIQL,ring,244,1.0
RVIQL,ring,245,1.0
RVIQL,ring,246,1.0
RVIQL,ring,247,1.0
RVIQL,ring,248,1.0
RVIQL,ring,249,1.0
RVIQL,ring,250,1.0
RVIQL,ring,251,1.0
RVIQL,ring,252,1.0
RVIQL,ring,253,1.0
RVIQL,ring,254,1.0
RVIQL,ring,255,1.0
RVIQL,ring,256,1.0
RVIQL,ring,257,1.0
RVIQL,ring,258,1.0
RVIQL,ring,259,1.0
RVIQL,ring,260,1.0
RVIQL,ring,261,1.0
RVIQL,ring,262,1.0
RVIQL,ring,263,1.0
RVIQL,ring,264,1.0
RVIQL,ring,265,1.0
RVIQL,ring,266,1.0
RVIQL,ring,267,1.0
RVIQL,ring,268,1.0
RVIQL,ring,269,1.0
RVIQL,ring,270,1.0
RVIQL,ring,271,1.0
RVIQL,ring,272,1.0
RVIQL,ring,273,1.0
RVIQL,ring,274,1.0
RVIQL,ring,275,1.0
RVIQL,ring,276,1.0
RVIQL,ring,277,1.0
RVIQL,ring,278,1.0
RVIQL,ring,279,1.0
RVIQL,ring,280,1.0
RVIQL,ring,281,1.0
RVIQL,ring,282,1.0
RVIQL,ring,283,1.0
RVIQL,ring,284,1.0
RVIQL,ring,285,1.0
RVIQL,ring,286,1.0
RVIQL,ring,287,1.0
RVIQL,ring,288,1.0
RVIQL,ring,289,1.0
RVIQL,ring,290,1.0
RVIQL,ring,291,1.0
RVIQL,ring,292,1.0
RVIQL,ring,293,1.0
RVIQL,ring,294,1.0
RVIQL,ring,295,1.0
RVIQL,ring,296,1.0
RVIQL,ring,297,1.0
RVIQL,ring,298,1.0
RVIQL,ring,299,1.0
RVIQL,ring,300,1.0
RVIQL,ring,301,1.0
RVIQL,ring,302,1.0
RVIQL,ring,303,1.0
RVIQL,ring,304,1.0
RVIQL,ring,305,1.0
RVIQL,ring,306,1.0
RVIQL,ring,307,1.0
RVIQL,ring,308,1.0
RVIQL,ring,309,1.0
RVIQL,ring,310,1.0
RVIQL,ring,311,1.0
RVIQL,ring,312,1.0
RVIQL,ring,313,1.0
RVIQL,ring,314,1.0
RVIQL,ring,315,1.0
RVIQL,ring,316,1.0
RVIQL,ring,317,1.0
RVIQL,ring,318,1.0
RVIQL,ring,319,1.0
RVIQL,ring,320,1.0
RVIQL,ring,321,1.0
RVIQL,ring,322,1.0
RVIQL,ring,323,1.0
RVIQL,ring,324,1.0
RVIQL,ring,325,1.0
RVIQL,ring,326,1.0
RVIQL,ring,327,1.0
RVIQL,ring,328,1.0
RVIQL,ring,329,1.0
RVIQL,ring,330,1.0
RVIQL,ring,331,1.0
RVIQL,ring,332,1.0
RVIQL,ring,333,1.0
RVIQL,ring,334,1.0
RVIQL,ring,335,1.0
RVIQL,ring,336,1.0
RVIQL,ring,337,1.0
RVIQL,ring,338,1.0
RVIQL,ring,339,1.0
RVIQL,ring,340,1.0
RVIQL,ring,341,1.0
RVIQL,ring,342,1.0
RVIQL,ring,343,1.0
RVIQL,ring,344,1.0
RVIQL,ring,345,1.0
RVIQL,ring,346,1.0
RVIQL,ring,347,1.0
RVIQL,ring,348,1.0
RVIQL,ring,349,1.0
RVIQL,ring,350,1.0
RVIQL,ring,351,1.0
RVIQL,ring,352,1.0
RVIQL,ring,353,1.0
RVIQL,ring,354,1.0
RVIQL,ring,355,1.0
RVIQL,ring,356,1.0
RVIQL,ring,357,1.0
RVIQL,ring,358,1.0
RVIQL,ring,359,1.0
RVIQL,ring,360,1.0
RVIQL,ring,361,1.0
RVIQL,ring,362,1.0
RVIQL,ring,363,1.0
RVIQL,ring,364,1.0
RVIQL,ring,365,1.0
RVIQL,ring,366,1.0
RVIQL,ring,367,1.0
RVIQL,ring,368,1.0
RVIQL,ring,369,1.0
RVIQL,ring,370,1.0
RVIQL,ring,371,1.0
RVIQL,ring,372,1.0
RVIQL,ring,373,1.0
RVIQL,ring,374,1.0
RVIQL,ring,375,1.0
RVIQL,ring,376,1.0
RVIQL,ring,377,1.0
RVIQL,ring,378,1.0
RVIQL,ring,379,1.0
RVIQL,ring,380,1.0
RVIQL,ring,381,1.0
RVIQL,ring,382,1.0
RVIQL,ring,383,1.0
RVIQL,ring,384,1.0
RVIQL,ring,385,1.0
RVIQL,ring,386,1.0
RVIQL,ring,387,1.0
RVIQL,ring,388,1.0
RVIQL,ring,389,1.0
RVIQL,ring,390,1.0
RVIQL,ring,391,1.0
RVIQL,ring,392,1.0
RVIQL,ring,393,1.0
RVIQL,ring,394,1.0
RVIQL,ring,395,1.0
RVIQL,ring,396,1.0
RVIQL,ring,397,1.0
RVIQL,ring,398,1.0
RVIQL,ring,399,1.0
RVIQL,ring,400,1.0
RVIQL,ring,401,1.0
RVIQL,ring,402,1.0
RVIQL,ring,403,1.0
RVIQL,ring,404,1.0
RVIQL,ring,405,1.0
RVIQL,ring,406,1.0
RVIQL,ring,407,1.0
RVIQL,ring,408,1.0
RVIQL,ring,409,1.0
RVIQL,ring,410,1.0
RVIQL,ring,411,1.0
RVIQL,ring,412,1.0
RVIQL,ring,413,1.0
RVIQL,ring,414,1.0
RVIQL,ring,415,1.0
RVIQL,ring,416,1.0
RVIQL,ring,417,1.0
RVIQL,ring,418,1.0
RVIQL,ring,419,1.0
RVIQL,ring,420,1.0
RVIQL,ring,421,1.0
RVIQL,ring,422,1.0
RVIQL,ring,423,1.0
RVIQL,ring,424,1.0
RVIQL,ring,425,1.0
RVIQL,ring,426,1.0
RVIQL,ring,427,1.0
RVIQL,ring,428,1.0
RVIQL,ring,429,1.0
RVIQL,ring,430,1.0
RVIQL,ring,431,1.0
RVIQL,ring,432,1.0
RVIQL,ring,433,1.0
RVIQL,ring,434,1.0
RVIQL,ring,435,1.0
RVIQL,ring,436,1.0
RVIQL,ring,437,1.0
RVIQL,ring,438,1.0
RVIQL,ring,439,1.0
RVIQL,ring,440,1.0
RVIQL,ring,441,1.0
RVIQL,ring,442,1.0
RVIQL,ring,443,1.0
RVIQL,ring,444,1.0
RVIQL,ring,445,1.0
RVIQL,ring,446,1.0
RVIQL,ring,447,1.0
RVIQL,ring,448,1.0
RVIQL,ring,449,1.0
RVIQL,ring,450,1.0
RVIQL,ring,451,1.0
RVIQL,ring,452,1.0
RVIQL,ring,453,1.0
RVIQL,ring,454,1.0
RVIQL,ring,455,1.0
RVIQL,ring,456,1.0
RVIQL,ring,457,1.0
RVIQL,ring,458,1.0
RVIQL,ring,459,1.0
RVIQL,ring,460,1.0
RVIQL,ring,461,1.0
RVIQL,ring,462,1.0
RVIQL,ring,463,1.0
RVIQL,ring,464,1.0
RVIQL,ring,465,1.0
RVIQL,ring,466,1.0
RVIQL,ring,467,1.0
RVIQL,ring,468,1.0
RVIQL,ring,469,1.0
RVIQL,ring,470,1.0
RVIQL,ring,471,1.0
RVIQL,ring,472,1.0
RVIQL,ring,473,1.0
RVIQL,ring,474,1.0
RVIQL,ring,475,1.0
RVIQL,ring,476,1.0
RVIQL,ring,477,1.0
RVIQL,ring,478,1.0
RVIQL,ring,479,1.0
RVIQL,ring,480,1.0
RVIQL,ring,481,1.0
RVIQL,ring,482,1.0
RVIQL,ring,483,1.0
RVIQL,ring,484,1.0
RVIQL,ring,485,1.0
RVIQL,ring,486,1.0
RVIQL,ring,487,1.0
RVIQL,ring,488,1.0
RVIQL,ring,489,1.0
RVIQL,ring,490,1.0
RVIQL,ring,491,1.0
RVIQL,ring,492,1.0
RVIQL,ring,493,1.0
RVIQL,ring,494,1.0
RVIQL,ring,495,1.0
RVIQL,ring,496,1.0
RVIQL,ring,497,1.0
RVIQL,ring,498,1.0
RVIQL,ring,499,1.0
RVIQL,ring,500,1.0
RVIQL,ring,501,1.0
